nom_sample;dent;hauteur_sample;d13CVPDB_COR;d13C/12C_SD;d18OVPD_COR;d18O/16O _SD;d18Ovsmow;predicted_phosphate_Iacumin1996;;;;;;;;;;;;;;;;;
P_IV0_M101.12_M2 3;M2;57,5;-12,04625;0,017;-6,032625;0,012;24,69090656;15,69708843;;;;;;;;;;;;;;;;;
P_IV0_M101.12_M2 4;M2;53,64;-11,91025;0,013;-7,248625;0,015;23,43732;14,4685736;;;;;;;;;;;;;;;;;
P_IV0_M101.12_M2 5;M2;49,55;-11,91125;0,009;-6,997625;0,023;23,69607841;14,72215684;;;;;;;;;;;;;;;;;
P_IV0_M101.12_M2 6;M2;45,76;-12,13125;0,007;-7,126625;0,026;23,56309102;14,5918292;;;;;;;;;;;;;;;;;
P_IV0_M101.12_M2 7;M2;41,86;-12,19125;0,014;-6,317625;0,018;24,39709721;15,40915527;;;;;;;;;;;;;;;;;
P_IV0_M101.12_M2 8;M2;37,8;-12,23625;0,009;-6,332625;0,018;24,38163356;15,39400089;;;;;;;;;;;;;;;;;
P_IV0_M101.12_M2 9;M2;33,87;-12,17125;0,017;-6,306625;0,019;24,40843722;15,42026848;;;;;;;;;;;;;;;;;
P_IV0_M101.12_M2 10;M2;30,09;-11,90625;0,015;-6,577625;0,019;24,12906061;15,1464794;;;;;;;;;;;;;;;;;
P_IV0_M101.12_M2 11;M2;25,22;-12,41225;0,021;-6,360625;0,027;24,35276808;15,36571272;;;;;;;;;;;;;;;;;
P_IV0_M101.12_M2 12;M2;21,5;-12,29925;0,013;-6,952625;0,02;23,74246936;14,76761997;;;;;;;;;;;;;;;;;
P_IV0_M101.12_M2 13;M2;18,19;-11,95525;0,011;-7,179625;0,024;23,50845279;14,53828374;;;;;;;;;;;;;;;;;
P_IV0_M101.12_M2 14;M2;14,45;-12,07225;0,018;-7,482625;0,016;23,19608706;14,23216532;;;;;;;;;;;;;;;;;
P_IV0_M101.12_M2 15;M2;11,04;-12,03725;0,019;-6,673625;0,023;24,03009325;15,04949139;;;;;;;;;;;;;;;;;
P_IV0_M101.12_M2 16;M2;7,04;-11,63725;0,015;-6,385625;0,037;24,32699533;15,34045542;;;;;;;;;;;;;;;;;
P.IV0_M101-13_M2 1;M2;75,21;-11,49985714;0,012;-6,234714286;0,034;24,4825707;15,49291928;;;;;;;;;;;;;;;;;
P.IV0_M101-13_M2 2;M2;73,04;-11,33285714;0,018;-6,357714286;0,024;24,35576877;15,36865339;;;;;;;;;;;;;;;;;
P.IV0_M101-13_M2 3;M2;70,98;-11,43085714;0,016;-6,578714286;0,019;24,12793766;15,1453789;;;;;;;;;;;;;;;;;
P.IV0_M101-13_M2 4;M2;68,79;-11,41185714;0,023;-7,033714286;0,022;23,65887361;14,68569613;;;;;;;;;;;;;;;;;
P.IV0_M101-13_M2 5;M2;66,47;-11,30785714;0,01;-7,113714286;0,03;23,57640081;14,60487279;;;;;;;;;;;;;;;;;
P.IV0_M101-13_M2 6;M2;64,13;-11,40285714;0,022;-7,576714286;0,017;23,09908948;14,13710769;;;;;;;;;;;;;;;;;
P.IV0_M101-13_M2 7;M2;61,59;-11,42985714;0,02;-7,265714286;0,023;23,41970249;14,45130844;;;;;;;;;;;;;;;;;
P.IV0_M101-13_M2 8;M2;58,74;-11,42485714;0,023;-7,094714286;0,012;23,5959881;14,62406833;;;;;;;;;;;;;;;;;
P.IV0_M101-13_M2 9;M2;55,9;-11,24785714;0,008;-6,702714286;0,02;24,00010482;15,02010272;;;;;;;;;;;;;;;;;
P.IV0_M101-13_M2 10;M2;53,07;-11,32185714;0,015;-6,678714286;0,025;24,02484666;15,04434972;;;;;;;;;;;;;;;;;
P.IV0_M101-13_M2 11;M2;50,3;-11,30285714;0,015;-6,418714286;0,022;24,29288326;15,30702559;;;;;;;;;;;;;;;;;
P.IV0_M101-13_M2 12;M2;47,55;-10,60885714;0,013;-6,266714286;0,021;24,44958158;15,46058994;;;;;;;;;;;;;;;;;
P.IV0_M101-13_M2 13;M2;44,7;-11,40385714;0,01;-5,985714286;0,032;24,73926729;15,74448194;;;;;;;;;;;;;;;;;
P.IV0_M101-13_M2 14;M2;41,6;-11,41785714;0,017;-6,021714286;0,029;24,70215453;15,70811144;;;;;;;;;;;;;;;;;
P.IV0_M101-13_M2 15;M2;38,81;-11,30685714;0,014;-6,239714286;0,018;24,47741615;15,48786782;;;;;;;;;;;;;;;;;
P.IV0_M101-13_M2 16;M2;36,08;-11,44285714;0,01;-6,766714286;0,042;23,93412658;14,95544404;;;;;;;;;;;;;;;;;
P.IV0_M101-13_M2 18;M2;30,48;-11,27185714;0,015;-6,769714286;0,015;23,93103385;14,95241317;;;;;;;;;;;;;;;;;
P.IV0_M101-13_M2 19;M2;27,81;-11,30985714;0,019;-7,139714286;0,027;23,54959715;14,5786052;;;;;;;;;;;;;;;;;
P.IV0_M101-13_M2 20;M2;24,68;-9,265857143;0,012;-7,653714286;0,034;23,01970941;14,05931522;;;;;;;;;;;;;;;;;
P.IV0_M101-13_M2 21;M2;22,64;-11,25785714;0,014;-7,571714286;0,021;23,10424403;14,14215915;;;;;;;;;;;;;;;;;
P.IV0_M101-13_M2 22;M2;20,09;-11,29885714;0,02;-6,860714286;0,007;23,83722104;14,86047662;;;;;;;;;;;;;;;;;
P.IV0_M101-13_M2 23;M2;17,85;-10,95385714;0,008;-6,412714286;0,033;24,29906872;15,31308734;;;;;;;;;;;;;;;;;
P.IV0_M101-13_M2 24;M2;14,96;-11,67485714;0,016;-6,328714286;0,036;24,38566516;15,39795185;;;;;;;;;;;;;;;;;
P.IV0_M101-13_M2 25;M2;12,05;-11,53885714;0,009;-6,144714286;0,02;24,5753526;15,58384554;;;;;;;;;;;;;;;;;
